actor_account_id,log_cnt,con_cnt,exp_amt,exp_mastery_amt,exhaust_cnt,die_cnt,quest_cnt,party_join_cnt,party_kick_cnt,guild_join_cnt,guild_withdraw_cnt,teleport_cnt,pve_cnt,pvp_cnt,ducel_end_cnt,spent_money,increased_money,decreased_money,increased_money2,increased_money3,decreased_money2,increased_experience,total_experience,in_item,decreased_item,increased_item1,decreased_item1,del_cnt,guild_create_cnt,min_time,max_time
003B1E06,37423.0,176.0,77029.0,4229266.0,171.0,114.0,754.0,148.0,0.0,0.0,0.0,42.0,4258.0,46.0,1.0,6007.0,70741695.0,69843958.0,429738.0,7206031.0,5960.0,77029.0,6408195375.0,4729.0,2516.0,816621.0,225331.0,3.0,0.0,2016-04-01 18:44:53.524,2016-05-08 10:49:15.998
003D42CD,33900.0,102.0,1797006.0,11180677.0,141.0,84.0,822.0,104.0,0.0,1.0,0.0,157.0,4518.0,36.0,1.0,22251.0,78399260.0,79324204.0,128654.0,1439584.0,3920.0,1797006.0,3432077838.0,3390.0,2469.0,261674.0,329964.0,3.0,0.0,2016-04-04 14:13:54.266,2016-05-11 03:34:49.201
006093EB,49063.0,237.0,0.0,12847058.0,177.0,109.0,831.0,273.0,0.0,0.0,0.0,85.0,6208.0,34.0,1.0,14648.0,76950639.0,16271237.0,952113.0,6486549.0,9000.0,0.0,11475951034.0,6395.0,3467.0,1053594.0,368977.0,0.0,0.0,2016-04-01 11:09:13.026,2016-05-10 15:35:21.701
0067CFF2,4608.0,28.0,0.0,1801082.0,31.0,27.0,49.0,12.0,0.0,0.0,0.0,14.0,460.0,9.0,1.0,3911.0,4482465.0,1568261.0,133491.0,2544.0,4100.0,0.0,634759560.0,665.0,474.0,124022.0,81095.0,0.0,0.0,2016-04-01 00:00:39.522,2016-05-11 01:03:42.471
00731F6C,4881.0,21.0,0.0,2862484.0,21.0,11.0,90.0,12.0,0.0,0.0,0.0,21.0,820.0,0.0,1.0,4076.0,2116036.0,95247.0,20792.0,248503.0,0.0,0.0,957155432.0,461.0,257.0,57062.0,13773.0,0.0,0.0,2016-04-29 16:54:39.814,2016-05-08 20:16:30.029
007C7AEA,27108.0,102.0,0.0,12753871.0,117.0,161.0,413.0,86.0,0.0,0.0,0.0,86.0,2514.0,31.0,1.0,25232.0,574650332.0,507573033.0,176908.0,20510034.0,0.0,0.0,5665748456.0,3002.0,2159.0,750254.0,323679.0,5.0,0.0,2016-04-01 11:11:50.902,2016-05-09 00:15:35.437
007DA514,1352.0,25.0,0.0,1357870.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,23.0,172.0,0.0,1.0,2585.0,127301.0,5038.0,1589.0,0.0,0.0,0.0,33171511.0,173.0,116.0,9790.0,8214.0,0.0,0.0,2016-04-19 16:11:27.116,2016-05-10 15:15:46.290
008285F2,35585.0,231.0,0.0,9403590.0,82.0,168.0,514.0,246.0,0.0,0.0,0.0,148.0,2703.0,108.0,1.0,33407.0,517742046.0,362761367.0,3085353.0,2888717.0,24300.0,0.0,6362121548.0,5609.0,3430.0,850234.0,357570.0,0.0,0.0,2016-04-01 20:00:12.723,2016-05-10 21:58:23.297
0086503D,49528.0,233.0,3559620.0,15713943.0,218.0,134.0,884.0,130.0,0.0,2.0,0.0,305.0,7244.0,30.0,1.0,42752.0,152287459.0,143631424.0,398599.0,7395484.0,44040.0,3559620.0,5966918604.0,4409.0,3428.0,191213.0,162804.0,6.0,0.0,2016-04-10 20:26:02.560,2016-05-08 23:13:26.009
008999EA,71629.0,650.0,1386097.0,27710104.0,86.0,221.0,1250.0,235.0,0.0,1.0,2.0,262.0,8256.0,219.0,1.0,49549.0,306447449.0,308586582.0,323658.0,1032780.0,97060.0,1386097.0,7859113660.0,12033.0,8045.0,1996793.0,606820.0,0.0,0.0,2016-04-05 15:57:22.419,2016-05-11 01:39:56.557
008E8AF0,378.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,1.0,0.0,48717.0,410.0,696.0,0.0,0.0,0.0,0.0,51.0,30.0,3223.0,69.0,0.0,0.0,2016-05-07 20:34:39.402,2016-05-10 05:00:45.458
00CBE7F7,115754.0,738.0,0.0,19581208.0,216.0,347.0,1568.0,546.0,0.0,2.0,2.0,196.0,13360.0,176.0,1.0,66658.0,884150665.0,998800066.0,1009770.0,180666803.0,12300.0,0.0,31268173500.0,9794.0,5350.0,2035777.0,571856.0,0.0,0.0,2016-04-01 00:00:04.721,2016-05-09 23:29:11.634
00D81497,25.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2669000.0,204.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2016-05-10 21:13:26.299,2016-05-10 21:27:58.725
00D81DCB,54253.0,403.0,885613.0,33287290.0,160.0,220.0,907.0,239.0,0.0,0.0,0.0,186.0,6452.0,34.0,1.0,34715.0,429141482.0,383597540.0,519715.0,49464100.0,14200.0,885613.0,11788368860.0,5340.0,3647.0,933431.0,647229.0,0.0,0.0,2016-04-01 00:00:08.434,2016-05-11 00:23:28.928
00DDAEEA,43657.0,529.0,0.0,19634234.0,134.0,264.0,804.0,264.0,0.0,0.0,0.0,128.0,3054.0,176.0,1.0,26852.0,112526916.0,54161545.0,351028.0,5093190.0,16060.0,0.0,7718688298.0,7135.0,4566.0,999971.0,211522.0,0.0,0.0,2016-04-01 13:15:15.416,2016-05-10 20:37:32.295
00E1A8EB,49003.0,176.0,12780.0,11674065.0,171.0,75.0,597.0,77.0,0.0,0.0,0.0,114.0,6300.0,19.0,1.0,38195.0,288385854.0,234700566.0,901246.0,129485.0,24600.0,12780.0,8924855416.0,6865.0,3546.0,1355031.0,441091.0,0.0,0.0,2016-04-01 00:01:28.705,2016-05-08 00:44:02.536
00EE61F2,59561.0,414.0,844666.0,8284138.0,406.0,501.0,824.0,221.0,0.0,1.0,0.0,120.0,4426.0,194.0,1.0,17570.0,258218039.0,253963794.0,167284.0,37959448.0,6000.0,844666.0,9200784014.0,5461.0,4336.0,514875.0,289875.0,3.0,0.0,2016-04-02 21:31:58.377,2016-05-10 21:25:15.141
00F7F5CF,67377.0,254.0,0.0,11569346.0,182.0,173.0,1180.0,225.0,0.0,2.0,2.0,102.0,8179.0,47.0,1.0,22148.0,98796965.0,75600501.0,947829.0,7412374.0,45000.0,0.0,18720024300.0,6056.0,3890.0,1465199.0,1033761.0,0.0,0.0,2016-04-01 12:13:09.839,2016-05-10 19:56:58.489
00FB45EC,3305.0,53.0,15106.0,1476677.0,11.0,8.0,54.0,11.0,0.0,0.0,0.0,0.0,134.0,0.0,1.0,0.0,64843572.0,30671506.0,14334.0,4456.0,0.0,15106.0,276191440.0,751.0,602.0,142719.0,72553.0,1.0,0.0,2016-04-07 23:47:38.354,2016-05-10 20:12:54.830
010010EB,83971.0,502.0,0.0,15135824.0,457.0,394.0,872.0,391.0,0.0,1.0,1.0,160.0,10770.0,606.0,1.0,39739.0,880975509.0,899388283.0,1558826.0,22829224.0,0.0,0.0,20391738240.0,6296.0,6369.0,1188717.0,1048832.0,0.0,0.0,2016-04-02 18:39:11.460,2016-05-07 23:25:50.436
01032B49,20577.0,23.0,1028914.0,0.0,7.0,4.0,456.0,0.0,0.0,0.0,0.0,72.0,4784.0,1.0,1.0,2375.0,17430400.0,9780673.0,37980.0,0.0,3600.0,1028914.0,1297883160.0,1161.0,551.0,32611.0,9510.0,0.0,0.0,2016-04-28 23:57:13.471,2016-05-10 17:06:56.128
01180EEB,97038.0,342.0,1262.0,19126397.0,351.0,475.0,792.0,465.0,0.0,0.0,0.0,166.0,8916.0,343.0,1.0,38338.0,2536182485.0,2214944513.0,5060557.0,290589807.0,12000.0,1262.0,8818532489.0,20037.0,9206.0,4906075.0,1204309.0,0.0,0.0,2016-04-01 00:01:35.945,2016-05-11 02:16:50.274
014267EC,3768.0,43.0,48.0,1645922.0,4.0,1.0,45.0,11.0,0.0,0.0,0.0,9.0,394.0,0.0,1.0,3533.0,2982762.0,5232516.0,17864.0,50313.0,0.0,48.0,741414269.0,409.0,324.0,28779.0,21297.0,0.0,0.0,2016-04-11 19:23:39.725,2016-05-09 21:25:22.492
015820FE,30575.0,107.0,0.0,7259382.0,138.0,89.0,543.0,123.0,0.0,0.0,0.0,97.0,3182.0,15.0,1.0,30000.0,382857963.0,616744587.0,485242.0,6437340.0,0.0,0.0,5770340780.0,3141.0,2439.0,291129.0,440465.0,0.0,0.0,2016-04-02 19:28:27.158,2016-05-10 00:35:08.387
01679B62,39774.0,243.0,0.0,12305564.0,278.0,315.0,552.0,286.0,0.0,0.0,0.0,92.0,1952.0,299.0,1.0,25874.0,6439490696.0,6719565971.0,225484.0,105753870.0,19190.0,0.0,6911207784.0,4818.0,3808.0,799652.0,236713.0,0.0,0.0,2016-04-01 23:26:17.726,2016-05-10 02:19:48.739
01AAC5B1,48061.0,306.0,0.0,10202781.0,200.0,247.0,559.0,237.0,0.0,1.0,0.0,66.0,3641.0,79.0,1.0,16872.0,802668229.0,669067974.0,333837.0,55071330.0,8200.0,0.0,11153794206.0,4867.0,3812.0,757306.0,500670.0,0.0,0.0,2016-04-01 23:11:07.654,2016-05-11 00:10:28.795
01C03A3E,186912.0,709.0,18930.0,61013012.0,207.0,363.0,1541.0,510.0,0.0,2.0,1.0,139.0,28740.0,178.0,1.0,54440.0,4131760953.0,4843260065.0,1918313.0,545798824.0,0.0,18930.0,55459320148.0,12143.0,8574.0,1858250.0,876327.0,0.0,0.0,2016-04-01 00:02:54.533,2016-05-10 22:12:07.985
01C45DEC,5615.0,20.0,0.0,2906410.0,11.0,7.0,88.0,5.0,0.0,0.0,0.0,15.0,966.0,0.0,1.0,2926.0,7627779.0,996638.0,49420.0,254.0,0.0,0.0,1506564810.0,420.0,277.0,168373.0,74204.0,0.0,0.0,2016-04-30 15:23:07.240,2016-05-10 16:43:54.293
020F663F,13380.0,41.0,731550.0,0.0,6.0,1.0,289.0,18.0,0.0,1.0,0.0,49.0,2961.0,0.0,1.0,1571.0,1288262.0,411760.0,19636.0,33.0,0.0,731550.0,682403377.0,715.0,395.0,18536.0,3500.0,0.0,0.0,2016-04-27 16:05:57.611,2016-05-11 04:37:52.833
021014FD,19182.0,35.0,1789952.0,1508037.0,82.0,45.0,368.0,32.0,0.0,1.0,0.0,134.0,3319.0,2.0,1.0,14293.0,21237147.0,20331858.0,62676.0,15610606.0,20500.0,1789952.0,1456483159.0,1866.0,1246.0,70160.0,95266.0,2.0,0.0,2016-04-20 21:56:37.208,2016-05-11 01:11:32.815
0216AD21,134635.0,511.0,1721311.0,28283810.0,718.0,226.0,2434.0,396.0,0.0,1.0,1.0,278.0,15897.0,28.0,1.0,54817.0,2639299530.0,2610474412.0,1484409.0,56245871.0,48500.0,1721311.0,29017185414.0,13824.0,9443.0,2414205.0,1367905.0,0.0,0.0,2016-04-01 02:50:40.534,2016-05-10 19:46:39.831
022E7E7A,1742.0,2.0,0.0,97981.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,7.0,300.0,0.0,1.0,1546.0,267768.0,111816.0,6568.0,0.0,0.0,0.0,302143635.0,160.0,104.0,3654.0,10032.0,0.0,0.0,2016-05-09 22:32:21.951,2016-05-10 01:23:16.793
024197F3,35374.0,387.0,12780.0,19651155.0,66.0,248.0,407.0,208.0,0.0,1.0,1.0,131.0,2798.0,169.0,1.0,29887.0,1503699907.0,810755471.0,162646.0,2562060.0,0.0,12780.0,5818883289.0,3890.0,3806.0,468605.0,640646.0,0.0,0.0,2016-04-01 20:52:19.768,2016-05-11 05:00:38.062
0252CFA7,46555.0,547.0,1451748.0,20341516.0,154.0,284.0,806.0,356.0,0.0,0.0,0.0,172.0,5428.0,418.0,1.0,41756.0,154704962.0,45866970.0,540498.0,13027425.0,0.0,1451748.0,7145712996.0,6276.0,3062.0,1785472.0,324128.0,6.0,0.0,2016-04-01 06:43:45.055,2016-05-10 16:49:23.650
026EF040,5526.0,25.0,0.0,2335158.0,27.0,22.0,62.0,15.0,0.0,1.0,0.0,34.0,816.0,0.0,1.0,7871.0,14733154.0,15738549.0,109155.0,417484.0,8770.0,0.0,940481165.0,441.0,421.0,29073.0,26620.0,0.0,0.0,2016-08-16 01:42:58.163,2016-09-07 00:09:40.874
0270A04D,55622.0,276.0,0.0,11238459.0,76.0,117.0,753.0,245.0,0.0,0.0,0.0,110.0,4445.0,28.0,1.0,26791.0,86623773.0,93621246.0,511893.0,1120115.0,0.0,0.0,14683336569.0,5588.0,4288.0,1352032.0,851029.0,0.0,0.0,2016-04-01 20:16:12.547,2016-05-10 23:07:28.391
027CED6D,28998.0,52.0,0.0,7790329.0,54.0,11.0,649.0,4.0,0.0,0.0,1.0,97.0,4537.0,5.0,1.0,24103.0,54123154.0,157866225.0,1930063.0,230203.0,0.0,0.0,6518865200.0,3117.0,1596.0,509113.0,129066.0,0.0,0.0,2016-04-02 00:01:34.509,2016-05-08 23:39:31.998
02A0AA0B,64752.0,185.0,4127760.0,16974529.0,634.0,353.0,1178.0,117.0,0.0,2.0,0.0,389.0,9433.0,29.0,1.0,57683.0,954197189.0,919112968.0,342709.0,8265164.0,60000.0,4127760.0,7548383878.0,5757.0,5108.0,196567.0,266637.0,3.0,0.0,2016-04-02 12:34:09.402,2016-05-10 23:16:57.368
02A4ABE4,41196.0,337.0,50176.0,9204949.0,338.0,318.0,561.0,217.0,0.0,1.0,1.0,75.0,3852.0,18.0,1.0,20470.0,427731365.0,421186022.0,237781.0,74820202.0,59800.0,50176.0,8198938240.0,4021.0,3227.0,373768.0,439385.0,1.0,0.0,2016-04-01 13:40:22.333,2016-05-10 02:09:35.173
02EBA555,23315.0,233.0,0.0,6747828.0,160.0,183.0,294.0,150.0,0.0,2.0,1.0,23.0,1703.0,71.0,1.0,7081.0,54269440.0,42284477.0,188306.0,1982221.0,0.0,0.0,4220128800.0,2510.0,1778.0,553812.0,342594.0,0.0,0.0,2016-04-03 19:41:48.674,2016-05-09 22:36:05.109
02FAB1EF,42877.0,287.0,0.0,12048577.0,223.0,146.0,671.0,178.0,0.0,0.0,2.0,85.0,4121.0,7.0,1.0,17839.0,461116994.0,519965179.0,307732.0,63239348.0,92040.0,0.0,8747277118.0,5867.0,3539.0,955776.0,423618.0,0.0,0.0,2016-04-01 20:41:58.059,2016-05-10 23:00:27.883
030114EC,62414.0,217.0,0.0,21456874.0,133.0,228.0,869.0,116.0,0.0,0.0,0.0,281.0,7698.0,99.0,1.0,77716.0,226455873.0,291766136.0,779324.0,13135669.0,9000.0,0.0,13584690085.0,6782.0,4530.0,1653309.0,689003.0,12.0,0.0,2016-04-01 00:05:54.068,2016-05-11 01:25:37.964
0302FEDF,18537.0,133.0,0.0,4562543.0,74.0,165.0,302.0,207.0,0.0,0.0,0.0,28.0,1169.0,60.0,1.0,2990.0,186173773.0,109747645.0,132229.0,20208104.0,0.0,0.0,3282909936.0,2347.0,1533.0,314093.0,217494.0,0.0,0.0,2016-04-02 18:29:42.865,2016-05-10 23:31:55.170
0304437A,188182.0,927.0,0.0,27671527.0,273.0,432.0,2780.0,833.0,0.0,0.0,0.0,181.0,24237.0,91.0,1.0,51330.0,4039878578.0,4031388157.0,2733721.0,233653045.0,18000.0,0.0,43098830643.0,21448.0,13160.0,3260101.0,1046873.0,0.0,0.0,2016-04-01 00:08:04.925,2016-05-10 18:36:58.694
03137CFD,28743.0,130.0,1747655.0,9925221.0,15.0,36.0,642.0,13.0,0.0,0.0,0.0,149.0,5311.0,7.0,1.0,20670.0,15619180.0,11515656.0,60528.0,11229.0,0.0,1747655.0,2930943857.0,2835.0,1626.0,250590.0,64401.0,2.0,0.0,2016-04-01 11:34:52.505,2016-05-09 15:38:34.132
031E8DEE,104466.0,938.0,1807929.0,44047151.0,182.0,130.0,1558.0,434.0,0.0,2.0,2.0,350.0,15354.0,44.0,1.0,68312.0,519970796.0,526606307.0,1178473.0,15661499.0,77300.0,1807929.0,22030563615.0,11549.0,6888.0,1220471.0,598258.0,0.0,0.0,2016-04-01 00:13:18.358,2016-05-11 04:40:14.328
032FCAF6,1506.0,26.0,0.0,230208.0,35.0,33.0,15.0,9.0,0.0,0.0,0.0,8.0,48.0,80.0,1.0,2339.0,1982009.0,320528.0,2057.0,106852.0,0.0,0.0,139674880.0,55.0,128.0,5599.0,35894.0,0.0,0.0,2016-04-04 00:20:28.845,2016-05-06 23:00:57.960
03378B3A,196537.0,227.0,0.0,32687905.0,456.0,468.0,1989.0,578.0,0.0,2.0,2.0,428.0,26148.0,1147.0,1.0,118555.0,858785331.0,713498568.0,4414840.0,11899688.0,51000.0,0.0,43686350000.0,27139.0,16931.0,6206002.0,1629569.0,0.0,0.0,2016-04-01 00:01:59.112,2016-05-11 02:27:24.876
0341F57F,3515.0,14.0,18105.0,540780.0,10.0,7.0,62.0,2.0,0.0,0.0,0.0,14.0,712.0,4.0,1.0,2703.0,516093.0,52650.0,9192.0,0.0,0.0,18105.0,781713301.0,213.0,174.0,16989.0,10227.0,0.0,0.0,2016-04-24 17:37:56.945,2016-05-09 09:14:03.511
034C24EB,101204.0,255.0,3545808.0,22701344.0,389.0,246.0,2143.0,282.0,0.0,1.0,0.0,409.0,17031.0,41.0,1.0,73702.0,139350360.0,120203246.0,506017.0,10853592.0,25320.0,3545808.0,14389856533.0,10728.0,6555.0,922751.0,423478.0,0.0,0.0,2016-04-14 21:20:06.531,2016-05-11 03:14:10.701
036DB130,79951.0,364.0,1727534.0,18630864.0,234.0,256.0,1277.0,255.0,0.0,1.0,0.0,152.0,10752.0,121.0,1.0,25376.0,146972297.0,162733358.0,522681.0,15646930.0,42000.0,1727534.0,17283664027.0,5685.0,5621.0,850206.0,1312258.0,1.0,0.0,2016-04-01 13:21:51.241,2016-05-10 13:05:10.120
037E261F,12766.0,50.0,1208907.0,841486.0,19.0,19.0,293.0,32.0,0.0,0.0,0.0,63.0,2341.0,0.0,1.0,5814.0,2112831.0,112795.0,32475.0,171052.0,1460.0,1208907.0,1281148319.0,1240.0,812.0,109629.0,29367.0,0.0,0.0,2016-04-08 23:12:51.766,2016-05-07 19:18:58.680
039C51EE,17621.0,170.0,0.0,4140842.0,219.0,90.0,250.0,113.0,0.0,0.0,0.0,19.0,2203.0,31.0,1.0,2873.0,36591665.0,13253024.0,330243.0,3480248.0,6000.0,0.0,3247091133.0,2089.0,1367.0,467399.0,280151.0,0.0,0.0,2016-04-01 01:11:31.571,2016-05-08 14:02:31.832
039DFB34,144.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,83.0,6113.0,401.0,14.0,0.0,0.0,0.0,0.0,28.0,29.0,371.0,100.0,0.0,0.0,2016-05-01 16:01:21.728,2016-05-09 22:22:06.129
03AA8038,42162.0,128.0,1760290.0,5946005.0,69.0,44.0,862.0,59.0,0.0,0.0,0.0,135.0,7048.0,9.0,1.0,17148.0,25270731.0,41290388.0,157682.0,611041.0,3600.0,1760290.0,4158965384.0,4833.0,3016.0,309608.0,128039.0,0.0,0.0,2016-04-01 11:36:55.966,2016-05-08 01:13:33.759
03BFF4ED,26423.0,49.0,1746011.0,10421476.0,33.0,13.0,425.0,18.0,0.0,1.0,0.0,152.0,4734.0,3.0,1.0,21755.0,285183847.0,279687256.0,148780.0,118683125.0,0.0,1746011.0,2395878001.0,3114.0,2189.0,253101.0,316883.0,1.0,0.0,2016-04-18 02:36:23.205,2016-05-11 05:00:31.512
03FDD6EE,101816.0,578.0,198437.0,27884399.0,242.0,551.0,1513.0,525.0,0.0,0.0,0.0,211.0,6896.0,159.0,1.0,48916.0,3710434547.0,3703417390.0,702134.0,303609232.0,60000.0,198437.0,20952591011.0,10853.0,8078.0,1822194.0,1128151.0,0.0,0.0,2016-04-01 00:33:34.703,2016-05-11 02:42:13.780
040390F5,246511.0,308.0,0.0,40955608.0,261.0,478.0,402.0,205.0,0.0,0.0,0.0,197.0,55905.0,766.0,1.0,45252.0,516764259.0,465662522.0,1703199.0,5787137.0,24600.0,0.0,97108894893.0,4037.0,3735.0,669704.0,732125.0,0.0,0.0,2016-04-01 08:22:30.622,2016-05-11 05:00:31.193
042548EE,25185.0,176.0,0.0,6858655.0,81.0,203.0,257.0,166.0,0.0,2.0,2.0,104.0,2156.0,248.0,1.0,25196.0,1227512573.0,1221967332.0,1290287.0,4760951.0,65200.0,0.0,3691562069.0,3740.0,2560.0,487425.0,325440.0,0.0,0.0,2016-04-01 20:20:35.794,2016-05-08 23:20:19.238
042B33F5,4161.0,56.0,0.0,1880962.0,6.0,19.0,58.0,19.0,0.0,0.0,0.0,8.0,146.0,5.0,1.0,1263.0,2575877.0,1036698.0,44395.0,181707.0,0.0,0.0,824640612.0,652.0,427.0,98929.0,27091.0,0.0,0.0,2016-04-01 23:37:38.285,2016-05-07 15:03:12.201
0448D42F,106757.0,424.0,0.0,28616574.0,1049.0,854.0,1233.0,461.0,0.0,7.0,4.0,268.0,5571.0,269.0,1.0,69151.0,991019771.0,917573789.0,776526.0,203839046.0,149400.0,0.0,15406305376.0,15517.0,12728.0,2930303.0,2116589.0,0.0,0.0,2016-04-01 00:01:32.537,2016-05-10 23:12:42.533
04694C14,6135.0,31.0,557971.0,1170413.0,9.0,12.0,82.0,0.0,0.0,0.0,0.0,48.0,1095.0,4.0,1.0,8481.0,761903.0,762955.0,16703.0,0.0,8900.0,557971.0,879792499.0,526.0,425.0,63585.0,22492.0,0.0,0.0,2016-04-23 11:33:04.500,2016-05-08 19:21:14.187
046C4409,928.0,6.0,0.0,66065.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,161.0,0.0,1.0,345.0,74778.0,5447.0,3502.0,0.0,0.0,0.0,185136420.0,82.0,39.0,3826.0,745.0,0.0,0.0,2016-04-23 14:11:41.135,2016-05-08 03:37:44.204
048236F6,14081.0,82.0,139897.0,6927885.0,69.0,29.0,224.0,52.0,0.0,0.0,1.0,54.0,1947.0,4.0,1.0,14268.0,158165132.0,59565687.0,208645.0,788184.0,0.0,139897.0,2147582611.0,1820.0,1178.0,307044.0,217435.0,1.0,0.0,2016-04-05 19:09:57.093,2016-05-10 20:10:58.345
04B7E0EC,31206.0,162.0,0.0,8814610.0,356.0,216.0,293.0,125.0,0.0,0.0,0.0,94.0,3898.0,220.0,1.0,24555.0,725600803.0,1846688379.0,162902.0,1747112.0,18000.0,0.0,6025740104.0,2454.0,2528.0,430727.0,521933.0,0.0,0.0,2016-04-01 00:43:25.072,2016-05-09 04:07:08.223
04BBB9F4,141881.0,477.0,0.0,35614379.0,367.0,315.0,1143.0,321.0,0.0,0.0,0.0,227.0,24072.0,49.0,1.0,51820.0,2474942593.0,1775899541.0,1230184.0,50667176.0,81000.0,0.0,43845139295.0,10085.0,6243.0,1943263.0,936602.0,0.0,0.0,2016-04-01 08:57:19.916,2016-05-09 23:05:26.322
04FF70F5,55681.0,369.0,1798063.0,21968538.0,179.0,224.0,951.0,228.0,0.0,3.0,1.0,227.0,7697.0,112.0,1.0,37112.0,111840447.0,111531138.0,389378.0,1309914.0,45300.0,1798063.0,8358365363.0,5641.0,3747.0,562895.0,336824.0,1.0,0.0,2016-04-01 22:42:02.436,2016-05-11 00:07:32.358
